category,path,ext,size_bytes
"ablation","ablation_fixed_output.log",".log",568
"ablation","ablation_output.log",".log",2840
"ablation","comprehensive_ablation_results_parallel.csv",".csv",1
"ablation","logs/run_ablation_study_20260124_182852.log",".log",568
"ablation","logs/run_ablation_study_20260124_183654.log",".log",10573
"ablation","logs/run_ablation_study_20260124_214127.log",".log",10573
"ablation","logs/run_ablation_study_20260125_022855.log",".log",10573
"ablation","logs/run_ablation_study_realdata_20260125_210529.log",".log",10573
"ablation","logs/run_ablation_study_run_20260126_053021.log",".log",1434
"ablation","logs/run_universal_ablation_20260125_022855.log",".log",1357
"ablation","logs/run_universal_ablation_realdata_20260125_210529.log",".log",1357
"ablation","logs_perfect/run_ablation_study_20260125_164208.log",".log",1177
"ablation","logs_perfect_parallel/run_ablation_study_20260125_170703.log",".log",10573
"ablation","logs_perfect_parallel/run_comprehensive_ablation_parallel_20260125_170703.log",".log",38638
"ablation","logs_perfect_parallel/run_hyperparameter_search_parallel_20260125_170703.log",".log",14027
"ablation","logs_perfect_parallel/run_universal_ablation_20260125_170703.log",".log",1357
"ablation","universal_ablation_results.csv",".csv",212
"baselines","checkpoints_ts/Autoformer_results.json",".json",124
"baselines","checkpoints_ts/Informer_results.json",".json",123
"baselines","checkpoints_ts/PatchTST_latest_results.json",".json",226
"baselines","checkpoints_ts/PatchTST_preds.npy",".npy",1738784
"baselines","checkpoints_ts/PatchTST_trues.npy",".npy",1738784
"baselines","checkpoints_ts/TimeMixer_latest_results.json",".json",229
"baselines","checkpoints_ts/TimeMixer_preds.npy",".npy",1738784
"baselines","checkpoints_ts/TimeMixer_trues.npy",".npy",1738784
"baselines","checkpoints_ts/iTransformer_latest_results.json",".json",226
"baselines","checkpoints_ts/iTransformer_preds.npy",".npy",1738784
"baselines","checkpoints_ts/iTransformer_trues.npy",".npy",1738784
"baselines","dlinear_latency_report.txt",".txt",980
"baselines","dlinear_latency_results.csv",".csv",660
"baselines","dlinear_noise_robustness_report.txt",".txt",694
"baselines","dlinear_noise_robustness_results.json",".json",505
"baselines","dlinear_output.log",".log",2019
"baselines","dlinear_results/dlinear_report_20260123_035541.txt",".txt",716
"baselines","dlinear_results/dlinear_report_20260125_061202.txt",".txt",716
"baselines","dlinear_results/dlinear_results_20260123_035541.json",".json",1520
"baselines","dlinear_results/dlinear_results_20260125_061202.json",".json",1518
"baselines","dlinear_results/dlinear_samples_20260123_035541.npz",".npz",84931
